CountyIds,COUNTY,Latitude,Longitude,AdminUnit,Name,AcresBurned,Started,Extinguished,Duration,ArchiveYear,PercentContained,MajorIncident,time
11,glenn,0.0,0.0,Mendocino National Forest,Daves Fire,226.0,2013-06-12 15:17:00+00:00,2013-06-17 09:00:00+00:00,4 days 17:43:00,2013,100.0,False,2013-06-12
11,glenn,39.514139,-122.560862,CAL FIRE Tehama-Glenn Unit,306 Fire,217.0,2013-05-01 19:00:00+00:00,2013-05-05 18:00:00+00:00,3 days 23:00:00,2013,100.0,True,2013-05-01
27,monterey,0.0,0.0,Los Padres National Forest,Tassajara Fire,213.0,2013-07-17 13:23:00+00:00,2013-07-17 19:30:00+00:00,0 days 06:07:00,2013,100.0,False,2013-07-17
36,san bernardino,34.2,-117.417,San Bernardino National Forest/CAL FIRE San Bernardino Unit,Sierra Fire,200.0,2013-09-24 15:51:00+00:00,2013-09-30 08:30:00+00:00,5 days 16:39:00,2013,100.0,False,2013-09-24
52,tehama,40.012398,-122.079871,CAL FIRE Tehama-Glenn Unit,Vina Fire,200.0,2013-07-04 07:30:00+00:00,2013-07-04 10:30:00+00:00,0 days 03:00:00,2013,100.0,False,2013-07-04
45,shasta,40.5445,-121.3754,CAL FIRE Shasta Unit ,Burney Lightning Series (Warner Fire),196.0,2013-08-19 17:48:00+00:00,2013-08-23 19:15:00+00:00,4 days 01:27:00,2013,100.0,True,2013-08-19
52,tehama,39.961309,-122.330879,CAL FIRE Tehama-Glenn Unit,Paskenta Fire,195.0,2013-07-19 13:32:00+00:00,2013-07-19 15:00:00+00:00,0 days 01:28:00,2013,100.0,False,2013-07-19
28,napa,38.382,-122.311,CAL FIRE Sonoma-Lake-Napa Unit,Silverado Fire,190.0,2013-11-21 21:39:00+00:00,2013-11-23 18:30:00+00:00,1 days 20:51:00,2013,100.0,True,2013-11-21
42,santa barbara,34.611824,-120.074655,Santa Barbara County Fire,Olive Fire,170.0,2013-05-28 15:24:00+00:00,2013-05-29 10:30:00+00:00,0 days 19:06:00,2013,100.0,False,2013-05-28
57,yolo,38.67479,-122.08725,CAL FIRE Sonoma-Lake-Napa Unit,Capay Fire,163.0,2013-11-04 11:41:00+00:00,2013-11-04 15:35:00+00:00,0 days 03:54:00,2013,100.0,False,2013-11-04
"9,34",el dorado,38.63987,-121.08438,CAL FIRE / Sacramento Metropolitan Fire,50 Fire,163.0,2013-07-19 14:12:00+00:00,2013-07-19 17:15:00+00:00,0 days 03:03:00,2013,100.0,False,2013-07-19
"9,34",sacramento,38.63987,-121.08438,CAL FIRE / Sacramento Metropolitan Fire,50 Fire,163.0,2013-07-19 14:12:00+00:00,2013-07-19 17:15:00+00:00,0 days 03:03:00,2013,100.0,False,2013-07-19
49,sonoma,38.34599,-122.6503,CAL FIRE Sonoma-Lake-Napa Unit,Crane Fire,159.0,2013-10-04 12:25:00+00:00,2013-10-05 07:45:00+00:00,0 days 19:20:00,2013,100.0,False,2013-10-04
