date,county,latitude,longitude,fire_name,acres_burned,fire_bins,duration,started,extinguished,pct_contained,major_incident,admin_unit,avg_wind_speed,avg_monthly_temp,total_monthly_precipitation,highest_daily_precipitation,total_monthly_snowfall,dsnd,dt00,dx32,co2_measured_mole_fraction,value_std_dev,co2_number_of_measurements,qc_flag,temp_range,month,season
2017-07-01,san bernardino,34.139,-117.199,Seine Fire,20.0,1,170.0,2017-07-22 15:49:00+00:00,2018-01-09 12:03:00+00:00,100.0,False,San Bernardino National Forest - USFS ,958.4659090909092,91.03064516129031,0.6129032258064516,0.0,0.06071428571428573,0.0,0.0,0.0,406.43,0.09,14,pass,13.738709677419394,07,summer
2017-07-01,san bernardino,34.304722,-117.3125,Silver Fire,13.0,1,188.0,2017-07-04 13:15:00+00:00,2018-01-09 11:42:00+00:00,100.0,False,CAL FIRE San Bernardino Unit / San Bernardino National Forest,958.4659090909092,91.03064516129031,0.6129032258064516,0.0,0.06071428571428573,0.0,0.0,0.0,409.34,0.21,12,pass,13.738709677419394,07,summer
2017-07-01,san bernardino,34.412040000000005,-117.03031,High Fire,170.0,3,169.0,2017-07-23 15:53:00+00:00,2018-01-09 12:04:00+00:00,100.0,True,Unified Command: CAL FIRE San Bernardino-Inyo-Mono Unit / San Bernardino County Fire,958.4659090909092,91.03064516129031,0.6129032258064516,0.0,0.06071428571428573,0.0,0.0,0.0,407.27,0.3,12,pass,13.738709677419394,07,summer
2017-07-01,san bernardino,34.149,-117.189,Hidden Fire,46.0,1,180.0,2017-07-12 15:29:00+00:00,2018-01-09 11:54:00+00:00,100.0,False,San Bernardino National Forest,958.4659090909092,91.03064516129031,0.6129032258064516,0.0,0.06071428571428573,0.0,0.0,0.0,406.74,0.38,10,pass,13.738709677419394,07,summer
2017-07-01,sonoma,38.70289,-122.90217,Independence Fire,11.0,1,161.0,2017-07-31 23:17:00+00:00,2018-01-09 12:15:00+00:00,100.0,False,CAL FIRE Sonoma-Lake-Napa Unit,120.67241379310344,77.18124999999999,37.375,0.0,0.007407407407407408,0.0,0.0,0.0,406.9,0.14,15,pass,15.837500000000006,07,summer
2017-08-01,monterey,35.86596,-120.64584,Country Fire,82.0,2,154.0,2017-08-07 18:08:00+00:00,2018-01-09 12:27:00+00:00,100.0,False,CAL FIRE San Benito-Monterey,159.08421052631581,75.96818181818182,28.90909090909091,0.0,0.01,0.0,0.0,0.0,405.4,0.44,6,pass,13.100000000000009,08,summer
2017-07-01,plumas,39.9034,-120.9761,Minerva Fire,4310.0,6,163.0,2017-07-29 18:55:00+00:00,2018-01-09 12:08:00+00:00,100.0,False,U.S. Forest Service - Plumas National Forest,1311.1454545454546,80.68749999999999,3.25,0.0,0.015,0.0,0.0,0.0,406.09,0.19,6,pass,19.575000000000017,07,summer
2017-07-01,tuolumne,37.905545,-120.40813500000002,Jacksonville Fire,690.0,5,163.0,2017-07-29 13:50:00+00:00,2018-01-09 12:09:00+00:00,100.0,True,CAL FIRE Tuolumne-Calaveras Unit,1094.1125,84.0375,29.25,0.0,0.005,0.0,0.0,0.0,406.09,0.19,6,pass,15.725000000000009,07,summer
2017-07-01,tuolumne,37.90014,-120.36005,Twist Fire,124.0,3,162.0,2017-07-30 16:28:00+00:00,2018-01-09 12:14:00+00:00,100.0,False,CAL FIRE Tuolumne-Calaveras Unit ,1094.1125,84.0375,29.25,0.0,0.005,0.0,0.0,0.0,407.1,0.14,15,pass,15.725000000000009,07,summer
2017-07-01,shasta,40.69259,-122.17383999999998,Sky Fire,17.0,1,163.0,2017-07-29 17:29:00+00:00,2018-01-09 12:12:00+00:00,100.0,False,CAL FIRE Shasta Trinity Unit,608.1034482758621,87.88076923076926,3.7692307692307687,0.0,0.0,0.0,0.0,0.0,406.09,0.19,6,pass,17.161538461538456,07,summer
2017-07-01,shasta,40.47106,-122.43608,Laverne Fire,180.0,3,174.0,2017-07-18 12:39:00+00:00,2018-01-09 12:01:00+00:00,100.0,True,CAL FIRE Shasta-Trintiy Unit,608.1034482758621,87.88076923076926,3.7692307692307687,0.0,0.0,0.0,0.0,0.0,407.31,0.25,6,pass,17.161538461538456,07,summer
2017-07-01,shasta,40.69554,-122.0122,Oak Fire,128.0,3,192.0,2017-07-01 00:48:00+00:00,2018-01-09 11:16:00+00:00,100.0,False,CAL FIRE Shasta-Trinity Unit,608.1034482758621,87.88076923076926,3.7692307692307687,0.0,0.0,0.0,0.0,0.0,407.29,0.76,11,pass,17.161538461538456,07,summer
2017-07-01,shasta,40.48972,-122.38618999999998,North Fire,10.0,1,177.0,2017-07-15 18:10:00+00:00,2018-01-09 11:56:00+00:00,100.0,True,CAL FIRE Shasta-Trinity Unit,608.1034482758621,87.88076923076926,3.7692307692307687,0.0,0.0,0.0,0.0,0.0,407.19,0.17,14,pass,17.161538461538456,07,summer
2017-12-01,san diego,33.3237,-117.163,Lilac Fire,4100.0,6,33.0,2017-12-07 11:15:00+00:00,2018-01-09 13:47:00+00:00,100.0,True,CAL FIRE San Diego Unit,378.7366336633664,63.07368421052631,266.3157894736842,0.0,0.05574712643678161,0.0,0.0,0.0,406.61,0.25,15,pass,12.999999999999993,12,winter
2017-09-01,riverside,33.974709999999995,-117.09984,Palmer Fire,3874.0,6,128.0,2017-09-02 13:33:00+00:00,2018-01-09 12:50:00+00:00,100.0,True,CAL FIRE Riverside Unit,576.7813953488372,82.69090909090909,22.72727272727273,0.0,0.3806060606060606,0.0,0.0,0.0,404.2,0.15,15,pass,12.590909090909065,09,fall
2017-09-01,riverside,33.74925,-117.10301,Melba Fire,35.0,1,101.0,2017-09-29 18:01:00+00:00,2018-01-09 13:28:00+00:00,100.0,False,CAL FIRE / Riverside County Fire,576.7813953488372,82.69090909090909,22.72727272727273,0.0,0.3806060606060606,0.0,0.0,0.0,403.23,0.19,14,pass,12.590909090909065,09,fall
2017-09-01,riverside,33.73547,-117.33364,Ellie Fire,34.0,1,120.0,2017-09-10 13:49:00+00:00,2018-01-09 13:19:00+00:00,100.0,False,CAL FIRE / Riverside County Fire,576.7813953488372,82.69090909090909,22.72727272727273,0.0,0.3806060606060606,0.0,0.0,0.0,403.5,0.34,8,pass,12.590909090909065,09,fall
2017-09-01,orange,33.8668,-117.68598,Canyon Fire,2662.0,6,183.0,2017-09-25 13:03:00+00:00,2018-03-28 11:36:00+00:00,100.0,False,CAL FIRE Riverside / USFS / Orange County Fire Authority / Anaheim Fire / Corona Fire Department,168.59473684210528,78.34375,1.75,0.0,0.07294117647058825,0.0,0.0,0.0,402.96,0.09,14,pass,9.387499999999989,09,fall
2017-09-01,plumas,39.75312,-120.75485,Eureka Fire,2575.0,6,125.0,2017-09-05 18:38:00+00:00,2018-01-09 13:18:00+00:00,100.0,False,Plumas National Forest ,1306.99,69.34375,198.625,0.0,0.9714285714285716,0.0,0.0,0.0,403.45,0.25,12,pass,16.462500000000006,09,fall
2017-09-01,plumas,40.13278,-120.9204,Mills File,79.0,2,127.0,2017-09-03 20:32:00+00:00,2018-01-09 13:18:00+00:00,100.0,False,Plumas National Forest,1306.99,69.34375,198.625,0.0,0.9714285714285716,0.0,0.0,0.0,404.01,0.15,14,pass,16.462500000000006,09,fall
2017-08-01,kings,36.05187,-120.05404,I-5 Fire,2312.0,6,137.0,2017-08-24 18:13:00+00:00,2018-01-09 12:44:00+00:00,100.0,False,Kings County,88.92,92.38333333333333,0.0,0.0,0.007777777777777778,0.0,0.0,0.0,404.75,0.24,9,pass,15.266666666666694,08,summer
2017-07-01,tulare,36.0226,-118.94252,Roadrunner Fire,2289.0,6,162.0,2017-07-30 17:43:00+00:00,2018-01-09 12:15:00+00:00,100.0,False,CAL FIRE Tulare Unit,1152.7947368421053,83.00874999999999,5.0,0.0,0.0025,0.0,0.0,0.0,407.1,0.14,15,pass,13.857500000000002,07,summer
