date,county,latitude,longitude,fire_name,acres_burned,fire_bins,duration,started,extinguished,major_incident,admin_unit,avg_wind_speed,avg_monthly_temp,extreme_max_temp,extreme_min_temp,total_monthly_precipitation,total_monthly_snowfall,highest_daily_snowfall,dsnd,dp10,dt00,dt32,dx32,dx70,cooling_degree_days,elevation,co2_measured_mole_fraction,qc_flag,temp_range,month,season
2018-10-01,santa clara,37.1769444,-121.68694444,Park Fire,63.0,2,88.0,2018-10-07 12:57:00+00:00,2019-01-04 08:57:00+00:00,False,CAL FIRE Santa Clara Unit/San Jose City Fire & South Santa Clara County FPD,4.949999999999998,63.678571428571445,82.28571428571429,45.42857142857143,0.04647058823529412,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,23.714285714285715,39.142857142857146,241.235,405.55,pass,19.871428571428588,10,fall
2018-06-01,orange,33.787838,-117.746625,Santiago Fire,155.0,3,206.0,2018-06-11 17:04:00+00:00,2019-01-04 10:08:00+00:00,False,Orange County Fire,5.6,68.85,89.375,54.5,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,118.75,146.71363636363637,411.03,pass,18.225000000000016,06,summer
2018-06-01,orange,33.551320000000004,-117.72044,Aliso Fire,175.0,3,215.0,2018-06-02 13:07:00+00:00,2019-01-04 10:19:00+00:00,False,Orange County Fire,5.6,68.85,89.375,54.5,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,118.75,146.71363636363637,410.8,pass,18.225000000000016,06,summer
2018-08-01,humboldt,41.07944000000001,-123.688056,Mill Creek 1 Fire,3674.0,6,140.0,2018-08-16 09:18:00+00:00,2019-01-04 09:17:00+00:00,False,Hoopa Valley Tribe ,4.45,66.575,87.9,48.6,0.06724137931034482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,113.7,263.27222222222224,406.85,pass,23.150000000000006,08,summer
2018-08-01,kern,35.56888889,-118.80138889,Pine Fire,114.0,3,140.0,2018-08-16 16:06:00+00:00,2019-01-04 09:17:00+00:00,False,Kern County Fire ,7.15,80.38076923076925,102.15384615384615,57.153846153846146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.69230769230769,473.92307692307685,736.7722222222221,406.85,pass,29.53076923076921,08,summer
2018-08-01,kern,35.37444,-118.83556000000002,Tarina Fire,2950.0,6,153.0,2018-08-03 14:48:00+00:00,2019-01-04 09:26:00+00:00,False,Kern County Fire Department,7.15,80.38076923076925,102.15384615384615,57.153846153846146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.69230769230769,473.92307692307685,736.7722222222221,407.67,pass,29.53076923076921,08,summer
2018-08-01,kern,35.51777778,-118.6525,Call Fire,367.0,4,138.0,2018-08-18 15:17:00+00:00,2019-01-04 09:16:00+00:00,False,USFS Sequoia National Forest,7.15,80.38076923076925,102.15384615384615,57.153846153846146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.69230769230769,473.92307692307685,736.7722222222221,407.16,pass,29.53076923076921,08,summer
2018-08-01,kern,35.17156,-118.51651,Marcel Fire,34.0,1,139.0,2018-08-17 18:47:00+00:00,2019-01-04 09:16:00+00:00,False,Kern County Fire ,7.15,80.38076923076925,102.15384615384615,57.153846153846146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.69230769230769,473.92307692307685,736.7722222222221,407.09,pass,29.53076923076921,08,summer
2018-09-01,los angeles,34.48229,-118.60858,Charlie Fire,3380.0,6,103.0,2018-09-22 14:30:00+00:00,2019-01-04 09:03:00+00:00,False,US Forest Service - Angeles National Forest,6.3909090909090915,73.75121951219512,95.34146341463415,54.926829268292686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.731707317073173,263.0487804878049,481.8217391304348,405.91,pass,23.54146341463416,09,fall
2018-09-01,los angeles,34.2325,-117.846111,Fork Fire,166.0,3,116.0,2018-09-09 12:10:00+00:00,2019-01-04 09:05:00+00:00,False,Angeles National Forest,6.3909090909090915,73.75121951219512,95.34146341463415,54.926829268292686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.731707317073173,263.0487804878049,481.8217391304348,405.0,pass,23.54146341463416,09,fall
