date,county,latitude,longitude,fire_name,acres_burned,fire_bins,duration,started,extinguished,pct_contained,major_incident,admin_unit,avg_wind_speed,avg_monthly_temp,max_monthly_temp,extreme_max_temp,min_monthly_temp,extreme_min_temp,total_monthly_precipitation,highest_daily_precipitation,total_monthly_snowfall,highest_daily_snowfall,dsnd,dp01,dp10,dt00,dt32,dx32,dx70,cooling_degree_days,heating_degree_days,elevation,co2_measured_mole_fraction,value_std_dev,co2_number_of_measurements,qc_flag
2017-10-01,butte,39.624959999999994,-121.52966,Cherokee Fire,8417.0,5,123.0,2017-10-08 21:45:00+00:00,2018-02-09 09:48:00+00:00,100.0,True,CAL FIRE Butte Unit,4.9,63.95555555555555,77.16666666666667,88.88888888888889,50.76666666666667,39.111111111111114,0.5425,0.5391666666666666,0.0,0.0,0.0,1.1666666666666667,0.9166666666666666,0.0,0.3333333333333333,0.0,25.555555555555557,66.0,98.88888888888889,335.9625,403.48,0.32,6,pass
2017-10-01,butte,39.39455,-121.40613,LaPorte Fire (Wind Complex),6151.0,5,123.0,2017-10-09 00:57:00+00:00,2018-02-09 09:50:00+00:00,100.0,True,CAL FIRE/Butte County Fire,4.9,63.95555555555555,77.16666666666667,88.88888888888889,50.76666666666667,39.111111111111114,0.5425,0.5391666666666666,0.0,0.0,0.0,1.1666666666666667,0.9166666666666666,0.0,0.3333333333333333,0.0,25.555555555555557,66.0,98.88888888888889,335.9625,403.21,0.04,12,pass
2017-10-01,butte,39.746790000000004,-121.67261,Honey Fire,150.0,2,91.0,2017-10-09 15:05:00+00:00,2018-01-09 13:34:00+00:00,100.0,True,CAL FIRE/Butte County Fire,4.9,63.95555555555555,77.16666666666667,88.88888888888889,50.76666666666667,39.111111111111114,0.5425,0.5391666666666666,0.0,0.0,0.0,1.1666666666666667,0.9166666666666666,0.0,0.3333333333333333,0.0,25.555555555555557,66.0,98.88888888888889,335.9625,403.21,0.04,12,pass
2017-10-01,lake,39.013870000000004,-122.64543,Sulphur Fire (Mendocino Lake Complex),2207.0,5,123.0,2017-10-08 23:59:00+00:00,2018-02-09 09:29:00+00:00,100.0,True,CAL FIRE Sonoma-Lake-Napa Unit,,60.385714285714286,72.77142857142857,86.28571428571429,48.028571428571425,34.142857142857146,0.45600000000000007,0.392,0.0,0.0,0.0,1.6,1.4,0.0,3.2857142857142856,0.0,20.285714285714285,68.14285714285714,210.85714285714286,732.5916666666667,403.48,0.32,6,pass
2017-10-01,lake,39.0199,-122.57486999999999,Long Fire,100.0,1,87.0,2017-10-14 05:00:00+00:00,2018-01-09 13:38:00+00:00,100.0,False,CAL FIRE Sonoma Lake Napa Unit,,60.385714285714286,72.77142857142857,86.28571428571429,48.028571428571425,34.142857142857146,0.45600000000000007,0.392,0.0,0.0,0.0,1.6,1.4,0.0,3.2857142857142856,0.0,20.285714285714285,68.14285714285714,210.85714285714286,732.5916666666667,403.37,0.18,11,pass
2017-10-01,lake,39.15016,-122.57600000000001,Ridge Fire,87.0,1,94.0,2017-10-06 14:38:00+00:00,2018-01-09 13:29:00+00:00,100.0,True,CAL FIRE Sonoma-Lake-Napa Unit,,60.385714285714286,72.77142857142857,86.28571428571429,48.028571428571425,34.142857142857146,0.45600000000000007,0.392,0.0,0.0,0.0,1.6,1.4,0.0,3.2857142857142856,0.0,20.285714285714285,68.14285714285714,210.85714285714286,732.5916666666667,403.03,0.08,14,pass
2017-10-01,shasta,40.70627,-122.24198999999999,Jones Fire,40.0,0,93.0,2017-10-08 04:53:00+00:00,2018-01-09 13:31:00+00:00,100.0,False,CAL FIRE Shasta-Trintiy Unit,6.5,60.51666666666667,75.7,88.33333333333333,45.34166666666667,35.083333333333336,0.611,0.5725,0.0,0.0,0.0,1.35,0.95,0.0,3.9166666666666665,0.0,22.916666666666668,48.25,187.41666666666666,584.625925925926,403.48,0.32,6,pass
2017-10-01,shasta,40.774,-122.309, Bridge Fire,37.0,0,70.0,2017-10-31 11:22:00+00:00,2018-01-09 13:46:00+00:00,100.0,False, Shasta-Trinity National Forest ,6.5,60.51666666666667,75.7,88.33333333333333,45.34166666666667,35.083333333333336,0.611,0.5725,0.0,0.0,0.0,1.35,0.95,0.0,3.9166666666666665,0.0,22.916666666666668,48.25,187.41666666666666,584.625925925926,404.28,0.14,4,pass
2017-10-01,humboldt,40.88516,-123.96843999999999,Blue Fire,20.0,0,92.0,2017-10-08 16:40:00+00:00,2018-01-09 13:30:00+00:00,100.0,True,CAL FIRE Humboldt-Del Norte Unit,4.55,57.46666666666667,69.28888888888888,83.66666666666667,45.666666666666664,36.77777777777778,1.9707142857142859,1.5675000000000001,0.0,0.0,0.0,5.464285714285714,2.0,0.0,0.0,0.0,15.0,12.666666666666666,245.33333333333334,241.41176470588235,403.48,0.32,6,pass
2017-10-01,tehama,40.24789000000001,-122.255,Freeway Fire,10.0,0,93.0,2017-10-08 12:15:00+00:00,2018-01-09 13:31:00+00:00,100.0,False,CAL FIRE Tehama-Glenn Unit,8.3,65.0,77.4,90.0,52.58,41.2,0.4963636363636363,0.4918181818181818,0.0,0.0,,1.1818181818181819,0.9090909090909091,0.0,0.0,0.0,24.2,95.6,94.6,289.9466666666667,403.48,0.32,6,pass
