,CountyIds,COUNTY_x,Latitude,Longitude,AdminUnit,Name,AcresBurned,Started,Extinguished,Duration,ArchiveYear,PercentContained,MajorIncident,time,value,value_std_dev,nvalue,qcflag,time/place,ELEVATION,AWND,CLDD,DP01,DP10,DSND,DT00,DT32,DX32,DX70,EMNT,EMSN,EMXP,EMXT,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,COUNTY_y
25,47,siskiyou,41.99279,-122.9401,Rogue-River-Siskiyou National Forest,Ward Fire,41.0,2017-08-13 12:41:00+00:00,2018-01-09 12:38:00+00:00,148.0,2017,100.0,False,2017-08-01,405.49,0.1,7,pass,2017-08-01siskiyou,293.0,1032.0266666666666,3.6,1.9285714285714286,0.6428571428571429,0.0,0.0,0.0,0.0,30.82608695652174,18.26086956521739,49.78260869565217,0.0,0.24071428571428571,103.8695652173913,0.43478260869565216,0.29285714285714287,0.0,74.48695652173913,91.25652173913043,57.73913043478263
26,47,siskiyou,41.222,-122.292,Shasta-Trinity National Forest ,Bradley Fire,54.0,2017-08-28 22:00:00+00:00,2018-01-09 12:46:00+00:00,133.0,2017,100.0,False,2017-08-01,404.05,0.15,4,pass,2017-08-01siskiyou,293.0,1032.0266666666666,3.6,1.9285714285714286,0.6428571428571429,0.0,0.0,0.0,0.0,30.82608695652174,18.26086956521739,49.78260869565217,0.0,0.24071428571428571,103.8695652173913,0.43478260869565216,0.29285714285714287,0.0,74.48695652173913,91.25652173913043,57.73913043478263
27,47,siskiyou,41.222,-122.27498999999999,Shasta-Trinity National Forest,Bradley Fire,54.0,2017-08-28 21:38:00+00:00,2018-01-09 12:46:00+00:00,133.0,2017,100.0,False,2017-08-01,404.05,0.15,4,pass,2017-08-01siskiyou,293.0,1032.0266666666666,3.6,1.9285714285714286,0.6428571428571429,0.0,0.0,0.0,0.0,30.82608695652174,18.26086956521739,49.78260869565217,0.0,0.24071428571428571,103.8695652173913,0.43478260869565216,0.29285714285714287,0.0,74.48695652173913,91.25652173913043,57.73913043478263
28,"28,49",napa,38.4041,-122.5209,CAL FIRE Sonoma-Lake-Napa Unit,Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),56556.0,2017-10-08 22:00:00+00:00,2018-02-09 09:30:00+00:00,123.0,2017,100.0,True,2017-10-01,403.48,0.32,6,pass,2017-10-01napa,50.75,143.1166666666667,5.6,1.1666666666666667,0.8333333333333334,0.0,0.0,0.0,0.0,27.0,3.0,39.25,0.0,0.20166666666666666,92.75,102.0,0.205,0.0,63.325,79.475,47.2
29,"28,48",napa,38.39206,-122.24367,CAL FIRE Sonoma-Lake-Napa Unit,Atlas Fire (Southern LNU Complex),51624.0,2017-10-08 21:52:00+00:00,2018-02-09 09:37:00+00:00,123.0,2017,100.0,True,2017-10-01,403.48,0.32,6,pass,2017-10-01napa,50.75,143.1166666666667,5.6,1.1666666666666667,0.8333333333333334,0.0,0.0,0.0,0.0,27.0,3.0,39.25,0.0,0.20166666666666666,92.75,102.0,0.205,0.0,63.325,79.475,47.2
30,"28,49",napa,38.60895,-122.62879,CAL FIRE Sonoma-Lake-Napa Unit,Tubbs Fire (Central LNU Complex),36807.0,2017-10-08 21:45:00+00:00,2018-02-09 09:27:00+00:00,123.0,2017,100.0,True,2017-10-01,403.48,0.32,6,pass,2017-10-01napa,50.75,143.1166666666667,5.6,1.1666666666666667,0.8333333333333334,0.0,0.0,0.0,0.0,27.0,3.0,39.25,0.0,0.20166666666666666,92.75,102.0,0.205,0.0,63.325,79.475,47.2
31,28,napa,38.318020000000004,-122.39052,CAL FIRE Sonoma-Lake-Napa Unit,Partrick Fire (Central LNU Complex),0.0,2017-10-08 23:48:00+00:00,2018-01-09 13:33:00+00:00,92.0,2017,100.0,True,2017-10-01,403.48,0.32,6,pass,2017-10-01napa,50.75,143.1166666666667,5.6,1.1666666666666667,0.8333333333333334,0.0,0.0,0.0,0.0,27.0,3.0,39.25,0.0,0.20166666666666666,92.75,102.0,0.205,0.0,63.325,79.475,47.2
32,"28,49",sonoma,38.4041,-122.5209,CAL FIRE Sonoma-Lake-Napa Unit,Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),56556.0,2017-10-08 22:00:00+00:00,2018-02-09 09:30:00+00:00,123.0,2017,100.0,True,2017-10-01,403.48,0.32,6,pass,2017-10-01sonoma,53.57142857142857,128.2516129032258,4.7,1.5555555555555556,0.9629629629629629,0.0,0.0,0.0,0.0,22.714285714285715,3.0,39.714285714285715,0.0,0.37,90.71428571428571,121.28571428571429,0.37851851851851853,0.0,62.77142857142858,77.04285714285713,48.51428571428572
33,"28,49",sonoma,38.60895,-122.62879,CAL FIRE Sonoma-Lake-Napa Unit,Tubbs Fire (Central LNU Complex),36807.0,2017-10-08 21:45:00+00:00,2018-02-09 09:27:00+00:00,123.0,2017,100.0,True,2017-10-01,403.48,0.32,6,pass,2017-10-01sonoma,53.57142857142857,128.2516129032258,4.7,1.5555555555555556,0.9629629629629629,0.0,0.0,0.0,0.0,22.714285714285715,3.0,39.714285714285715,0.0,0.37,90.71428571428571,121.28571428571429,0.37851851851851853,0.0,62.77142857142858,77.04285714285713,48.51428571428572
34,49,sonoma,38.76549,-122.90938999999999,CAL FIRE Sonoma-Lake-Napa Unit,Pocket Fire (Central LNU Complex),17357.0,2017-10-09 03:30:00+00:00,2018-02-09 09:32:00+00:00,123.0,2017,100.0,True,2017-10-01,403.21,0.04,12,pass,2017-10-01sonoma,53.57142857142857,128.2516129032258,4.7,1.5555555555555556,0.9629629629629629,0.0,0.0,0.0,0.0,22.714285714285715,3.0,39.714285714285715,0.0,0.37,90.71428571428571,121.28571428571429,0.37851851851851853,0.0,62.77142857142858,77.04285714285713,48.51428571428572
35,49,sonoma,0.0,0.0,CAL FIRE Sonoma-Lake-Napa Unit,Adobe Fire (Central LNU Complex),1868.0,2017-10-09 01:00:00+00:00,2018-01-09 13:33:00+00:00,92.0,2017,100.0,True,2017-10-01,403.21,0.04,12,pass,2017-10-01sonoma,53.57142857142857,128.2516129032258,4.7,1.5555555555555556,0.9629629629629629,0.0,0.0,0.0,0.0,22.714285714285715,3.0,39.714285714285715,0.0,0.37,90.71428571428571,121.28571428571429,0.37851851851851853,0.0,62.77142857142858,77.04285714285713,48.51428571428572
36,49,sonoma,38.14242,-122.47301000000002,CAL FIRE Sonoma-Lake-Napa Unit,37 Fire,1660.0,2017-10-09 14:00:00+00:00,2018-01-09 13:34:00+00:00,91.0,2017,100.0,False,2017-10-01,403.21,0.04,12,pass,2017-10-01sonoma,53.57142857142857,128.2516129032258,4.7,1.5555555555555556,0.9629629629629629,0.0,0.0,0.0,0.0,22.714285714285715,3.0,39.714285714285715,0.0,0.37,90.71428571428571,121.28571428571429,0.37851851851851853,0.0,62.77142857142858,77.04285714285713,48.51428571428572
37,49,sonoma,38.36685,-122.64001,CAL FIRE Sonoma-Lake-Napa Unit,Pressley Fire (Central LNU Complex),0.0,2017-10-09 01:30:00+00:00,2018-01-09 13:34:00+00:00,92.0,2017,100.0,True,2017-10-01,403.21,0.04,12,pass,2017-10-01sonoma,53.57142857142857,128.2516129032258,4.7,1.5555555555555556,0.9629629629629629,0.0,0.0,0.0,0.0,22.714285714285715,3.0,39.714285714285715,0.0,0.37,90.71428571428571,121.28571428571429,0.37851851851851853,0.0,62.77142857142858,77.04285714285713,48.51428571428572
38,49,sonoma,38.46123,-122.58152,CAL FIRE Sonoma-Lake-Napa Unit,Oakmont Fire (Central LNU Complex),100.0,2017-10-14 20:35:00+00:00,2018-04-05 12:01:00+00:00,172.0,2017,100.0,True,2017-10-01,403.37,0.18,11,pass,2017-10-01sonoma,53.57142857142857,128.2516129032258,4.7,1.5555555555555556,0.9629629629629629,0.0,0.0,0.0,0.0,22.714285714285715,3.0,39.714285714285715,0.0,0.37,90.71428571428571,121.28571428571429,0.37851851851851853,0.0,62.77142857142858,77.04285714285713,48.51428571428572
39,49,sonoma,38.51937,-123.24713,CAL FIRE Sonoma-Lake-Napa Unit,Fort Fire,20.0,2017-10-07 20:00:00+00:00,2018-01-09 13:30:00+00:00,93.0,2017,100.0,False,2017-10-01,403.17,0.11,7,pass,2017-10-01sonoma,53.57142857142857,128.2516129032258,4.7,1.5555555555555556,0.9629629629629629,0.0,0.0,0.0,0.0,22.714285714285715,3.0,39.714285714285715,0.0,0.37,90.71428571428571,121.28571428571429,0.37851851851851853,0.0,62.77142857142858,77.04285714285713,48.51428571428572
