,CountyIds,Counties,Latitude,Longitude,AdminUnit,Name,AcresBurned,Started,Extinguished,ArchiveYear,PercentContained,MajorIncident,time,value,value_std_dev,nvalue,qcflag
90,19,Los Angeles,0.0,0.0,Angeles National Forest / Los Angeles County Fire Department,Bee Fire,100.0,2013-08-09 17:15:00+00:00,2013-08-11 19:15:00+00:00,2013,100.0,False,2013-08-09,395.59,0.1,5,pass
91,18,Lassen,40.88886,-120.958126,CAL FIRE Lassen-Modoc Unit,Coyote Fire,97.0,2013-08-09 15:51:00+00:00,2013-08-12 09:30:00+00:00,2013,100.0,False,2013-08-09,395.59,0.1,5,pass
92,55,Tuolumne,37.91529,-120.33313,CAL FIRE Tuolumne-Calaveras Unit,Murphy Fire,100.0,2013-06-02 13:30:00+00:00,2013-06-02 16:55:00+00:00,2013,100.0,False,2013-06-02,399.36,0.11,14,pass
93,23,Mendocino,38.9252,-122.966,CAL FIRE Mendocino Unit,Highland Fire,98.0,2013-09-28 13:57:00+00:00,2013-09-29 18:15:00+00:00,2013,100.0,False,2013-09-28,393.66,0.05,5,pass
94,25,Modoc,41.73325,-120.375,Modoc National Forest ,Davis Creek Complex,97.0,2013-09-05 15:57:00+00:00,2013-09-24 20:15:00+00:00,2013,100.0,False,2013-09-05,393.32,0.13,7,pass
95,4,Butte,39.6612,-121.50354,CAL FIRE Butte Unit,Branch Fire,92.0,2013-08-01 16:01:00+00:00,2013-08-04 14:45:00+00:00,2013,100.0,True,2013-08-01,396.76,0.05,15,pass
96,20,Madera,37.1927,-119.7917,CAL FIRE Madera-Mariposa-Merced Unit,Lilly 2 Fire,91.0,2013-05-19 15:07:00+00:00,2013-05-20 19:10:00+00:00,2013,100.0,True,2013-05-19,400.1,0.12,10,pass
97,33,Riverside,33.9582,-116.6534,CAL FIRE/Riverside County Fire ,Water Fire,90.0,2013-05-21 14:16:00+00:00,2013-05-21 19:30:00+00:00,2013,100.0,False,2013-05-21,399.71,0.19,13,pass
98,4,Butte,39.731878,-121.71393799999998,CAL FIRE Butte Unit,Centerville Fire,80.0,2013-08-31 17:23:00+00:00,2013-09-01 18:00:00+00:00,2013,100.0,True,2013-08-31,393.93,0.68,8,pass
99,29,Nevada,39.333401,-121.107022,CAL FIRE Nevada-Yuba-Placer Unit,Tyler Fire,52.0,2013-08-31 14:42:00+00:00,2013-08-31 21:30:00+00:00,2013,100.0,False,2013-08-31,393.93,0.68,8,pass
